id,brand,categories,primaryCategories,colors,prices.amountMax,prices.amountMin,prices.color,prices.condition,prices.isSale
AVpfEf_hLJeJML431ueH,Naturalizer,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Heels,Sandals",Shoes,"Silver,Cream Watercolor Floral",55.99,55.99,UWomens  M Regular,,FALSE
AVpi74XfLJeJML43qZAc,MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes,All Women's Shoes",Shoes,Grey,"47,00",35.25,Grey,New,TRUE
AVpi74XfLJeJML43qZAc,MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes,All Women's Shoes",Shoes,Grey,35.25,35.25,Grey,New,FALSE
AVpjXyCc1cnluZ0-V-Gj,MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Women's Slippers","Shoes,Shoes",Black,24.75,24.75,Black,New,FALSE
AVphGKLPilAPnD_x1Nrm,MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Women's Slippers",Shoes,Grey,"33,00",30.39,Grey,New,TRUE
AVpg91ziilAPnD_xziOo,Soft Ones,"Womens Shoes,Clothing,Women's Shoes,Baby & Kids Shoes,Baby & Toddler Shoes,All Womens Shoes,Shoes,All Women's Shoes",Shoes,Brown Tweed,"14,00",7.9,Brown Tweed,New,TRUE
AVpjGKXyLJeJML43r8BH,MUK LUKS,"MUK LUKS,Womens,Women's Casual Shoes,Clothing,Women's Shoes,Women's Slippers,Slippers,Shoes,All Women's Shoes",Shoes,"Light Blue,Brown,Navy,Purple,Burgundy,Black,Natural","24,00",12.79,Purple,,FALSE
AVpjGKXyLJeJML43r8BH,MUK LUKS,"MUK LUKS,Womens,Women's Casual Shoes,Clothing,Women's Shoes,Women's Slippers,Slippers,Shoes,All Women's Shoes",Shoes,"Light Blue,Brown,Navy,Purple,Burgundy,Black,Natural","24,00",12.79,Brown,,FALSE
AVpfLXyhilAPnD_xWmNc,MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Shoes,"Navy,Grey","59,00",39.88,Navy,New,TRUE
AVpfeWdJ1cnluZ0-lXYU,MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Winter Boots,All Women's Shoes,Women's Boots",Shoes,Brown,"59,00",47.99,Brown,New,TRUE
AVpfeWdJ1cnluZ0-lXYU,MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Winter Boots,All Women's Shoes,Women's Boots",Shoes,Brown,"59,00",36.99,Brown,New,TRUE
AVpf38PKLJeJML43FRwO,MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Winter Boots,All Women's Shoes,Women's Boots",Shoes,"Black,Medium Beige","95,00",62.8,Medium Beige,New,TRUE
AVph9abqilAPnD_x_Nrp,MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Women's Boots",Shoes,"Grey,Dark Brown,Chestnut,Brown","68,00",41.27,Dark Brown,New,TRUE
